Participant,Parent Firm,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,Longreach Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,2,Y,LRSF1,17,14,1000
Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,Shepparton Wastewater Treatment Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,SHEP1,1.1,1,
Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,Tatura Biomass Generator,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,TATURA01,1.1,1,
Diamond Energy Pty Ltd,Diamond Energy Pty Ltd,Valdora Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,15,Y,VALDORA1,15,15,0
Dubbo Solar Hub Pty Ltd,Neoen,Narromine Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Apr,2.5,N,NASF1,10,9,0
Dubbo Solar Hub Pty Ltd,Neoen,South Keswick Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jun,2.5,N,SKSF1,15,14.5,0
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,51,Y,JLA01,51,65,23
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,51,Y,JLA02,51,65,23
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,51,Y,JLA03,51,65,23
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,51,Y,JLA04,51,65,23
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,76,Y,JLB01,76,100,20
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,76,Y,JLB02,76,100,20
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,76,Y,JLB03,76,100,20
Ecogen Energy Pty Ltd,Ecogen Energy Pty Ltd,Newport Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,1,500,Y,NPS,500,510,20
EDL (OCI) Pty Limited,EDL,Glennies Creek Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,1-Dec,1.065,Y,GLENNCRK,12.78,12,0
EDL (OCI) Pty Limited,EDL,Oaky Creek 2,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,3,Y,OAKY2,15,15,0
EDL (OCI) Pty Limited,EDL,Oaky Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,Jan-14,1.037,Y,OAKYCREK,20,20,
EDL (OCI) Pty Limited,EDL,Oaky Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,15-16,3,Y,OAKYCREK,-,-,-
EDL (TT) Pty Limited,EDL,Tahmoor Waste Coal Mine Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,1.006,N,TAHMOOR1,7.042,7,0
EDL (TT) Pty Limited,EDL,Teralba Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,"1-2,4",1,N,TERALBA,3,3,0
EDL CSM (QLD) Pty Ltd,EDL,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-16,1.979,N,GERMCRK,44.976,45,0
EDL CSM (QLD) Pty Ltd,EDL,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,17-20,3.328,N,GERMCRK,-,-,-
EDL Group Operations Pty Ltd,EDL,Berwick Power Plant,VIC1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,1.44,N,-,7.2,7,
EDL LFG (NSW) Pty Ltd,EDL,Eastern Creek LFG PS Units 1-4,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.264,N,EASTCRK,5.056,5,0
EDL LFG (NSW) Pty Ltd,EDL,Grange Avenue Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,2,N,GRANGEAV,2,2,0
EDL LFG (NSW) Pty Ltd,EDL,Jacks Gully Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Feb,1.15,N,JACKSGUL,2.3,2,
EDL LFG (NSW) Pty Ltd,EDL,Lucas Heights 2 Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Dec-15,1.15,N,LUCAS2S2,4.6,5,0
EDL LFG (NSW) Pty Ltd,EDL,Lucas Heights 2 Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Nov,1.15,N,LUCASHGT,12.65,13,0
EDL LFG (Qld) Pty Ltd,EDL,Browns Plains Landfill Gas PS,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Feb,1,N,BPLANDF1,2,2,1
EDL LFG (Qld) Pty Ltd,EDL,Roghan Road LFG Power Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,2,N,EDLRGNRD,2,2,0
EDL LFG (SA) Pty Ltd,EDL,Wingfield 1 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.03,N,WINGF1_1,4.12,5,0
EDL LFG (SA) Pty Ltd,EDL,Wingfield 2 Landfill Gas Power Station,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.03,N,WINGF2_1,4.12,5,0
EDL LFG (Vic) Pty Ltd,EDL,Broadmeadows Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,1,N,BROADMDW,5,5,0
EDL LFG (Vic) Pty Ltd,EDL,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.15,N,BROOKLYN,2.83,3,0
EDL LFG (Vic) Pty Ltd,EDL,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,2,1.03,N,BROOKLYN,-,-,-
EDL LFG (Vic) Pty Ltd,EDL,Brooklyn LFG U1-3,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,3,0.65,N,BROOKLYN,-,-,-
EDL LFG (Vic) Pty Ltd,EDL,Clayton Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Nov,1,N,CLAYTON,11,11,0
EDL LFG (Vic) Pty Ltd,EDL,Corio Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1,N,CORIO1,1,1,0
EDL LFG (Vic) Pty Ltd,EDL,Springvale Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1.05,N,SVALE1,4.2,5,0
EDL Projects (Australia) Pty Ltd,EDL,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,3.041,Y,GROSV1,21.287,21,0
EDL Projects (Australia) Pty Ltd,EDL,Grosvenor 2,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,3.041,Y,GROSV2,15.205,15,0
EDL Projects (Australia) Pty Ltd,EDL,Moranbah North Waste Coal Mine Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-21,3.02,N,MBAHNTH,63.42,63,0
Energy Pacific (Vic) Pty Ltd,Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,1.3,N,CODRNGTON,18.2,18,0
Energy Pacific (Vic) Pty Ltd,Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,1.5,N,YAMBUKWF,30,30,
EnergyAustralia Pty Ltd,Energy Australia,Mornington Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,0.77,N,MORNW,1,1,
EnergyAustralia Pty Ltd,Energy Australia,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,700,Y,MP1,700,700,25
EnergyAustralia Pty Ltd,Energy Australia,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,700,Y,MP2,700,700,25
EnergyAustralia Pty Ltd,Energy Australia,Tallawarra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,440,Y,TALWA1,440,440,30
EnergyAustralia Pty Ltd,Energy Australia,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Jun,1.065,N,WDLNGN01,7,7,
EnergyAustralia Pty Ltd,Energy Australia,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,7,1.065,N,WDLNGN01,-,-,
EnergyAustralia Pty Ltd,Energy Australia,Wyndham Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,WYNDW,1,1,
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),"GT 1-2,GT 1-4",14,Y,AGLHAL,205.6,220,44
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-1,15.5,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-2,22.5,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-3,25,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-4,23.4,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-1,15,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-2,15.3,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-3,15.5,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-4,15.7,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-1,15.1,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-2,14.6,Y,AGLHAL,-,-,-
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,360,Y,YWPS1,360,395,79
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,360,Y,YWPS2,360,395,79
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,380,Y,YWPS3,380,405,81
EnergyAustralia Yallourn Pty Ltd,Energy Australia,Yallourn 'W' Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,380,Y,YWPS4,380,405,81
EnerNOC Pty Ltd,EnerNOC,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-Feb,1,N,BBASEHOS,3,3,1
EnerNOC Pty Ltd,EnerNOC,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,3,1,N,BBASEHOS,-,-,-
EnerNOC Pty Ltd,EnerNOC,Nine Network Willoughby Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-Mar,1.06,N,NINEWIL1,3.2,2,
EnerNOC Pty Ltd,EnerNOC,Tataria Bordertown Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,0.5,Y,TATIARA1,0.5,1,
EnerNOC Pty Ltd,EnerNOC,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,0.715,Y,WESTILL1,380.715,1,
EnerNOC Pty Ltd,EnerNOC,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,2,0.275,N,WESTILL1,-,-,-
EnerNOC Pty Ltd,EnerNOC,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,WESTCBT1,1,1,
Ergon Energy Queensland Pty Ltd,Ergon Energy,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,37,Y,BARCALDN,37,37,3
Ergon Energy Queensland Pty Ltd ,Ergon Energy,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-37,3.41,N,MEWF1,127.65,126.05,159
Ergon Energy Queensland Pty Ltd ,Ergon Energy,Mount Emerald Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 38-53,3.26,N,MEWF1,52.8,52.15,159
ERM Power Retail Pty Ltd,ERM Power,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,141,Y,OAKEY1,141,173,30
ERM Power Retail Pty Ltd,ERM Power,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,141,Y,OAKEY2,141,173,30
Essential Energy,Essential Energy,Broken Hill Gas Turbines,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,25,N,GB01,50,50,0
Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,2.5,Y,GANNSF1,55,50,1000
Genex (Solar) Pty Ltd,Genex,Kidston Solar Project,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-20,2.5,Y,KSP1,50,45,1000
Greentricity Pty Ltd,Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-Dec,2.5,Y,DALNTH01,30,30,360
Greentricity Pty Ltd,Greentricity Pty Ltd,Dalrymple North Battery Energy Storage System,SA1,Load,Market,Scheduled,-,-,-,-,1-Dec,2.5,Y,DALNTHL1,30,30,360
Griffith Solar Farm Pty Ltd,Neoen,Griffith Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,2.27,Y,GRIFSF1,27.2,27,1
GSP Energy Pty Ltd,Meridian,Burrinjuck Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-Apr,5.7,N,BURRIN,27,28,
GSP Energy Pty Ltd,Meridian,Burrinjuck Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,5,15.4,N,BURRIN,-,-,-
GSP Energy Pty Ltd,Meridian,Hume (NSW) Hydro Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,29,Y,HUMENSW,29,70,10
GSP Energy Pty Ltd,Meridian,Hume (Vic) Hydro Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,29,Y,HUMEV,29,70,10
GSP Energy Pty Ltd,Meridian,Keepit Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,6,N,KEEPIT,6,8,
Gunning Wind Energy Developments Pty Ltd,Acciona,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,1.5,N,GUNNING1,46.5,47,47
Hamilton Solar Farm Pty Ltd,Edify Energy,Hamilton Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,44927,2.5,Y,HAMISF1,57.5,56,20
Hornsdale Power Reserve Pty Ltd,Neoen,Hornsdale Power Reserve,SA1,Generator,Market,Scheduled,Battery storage,Wind,Storage,Battery and Inverter,1-197,0.52,N,HPRG1,102.44,100,200
Hornsdale Power Reserve Pty Ltd,Neoen,Hornsdale Power Reserve,SA1,Load,Market,Scheduled,-,-,-,-,1-197,0.406,N,HPRL1,79.982,80,200
Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Lighthouse Solar Fund,Hughenden Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-18,1.165,Y,HUGSF1,20.97,18,60
HWF 2 Pty Ltd,Neoen,Hornsdale Wind Farm 2,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF2,102.4,102,50
HWF1 Pty Ltd,Neoen,Hornsdale Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,3.2,Y,HDWF1,102.4,102,50
HWF3 Pty Ltd,Neoen,Hornsdale Wind Farm 3,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,3.2,Y,HDWF3,112,109,50
Hydro Power Pty Limited,Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,0.5,Y,BROWNMT,8.2,6,0
Hydro Power Pty Limited,Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2-Mar,0.75,Y,BROWNMT,-,-,-
Hydro Power Pty Limited,Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,4-May,1,Y,BROWNMT,-,-,-
Hydro Power Pty Limited,Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,6,4.2,Y,BROWNMT,-,-,-
Hydro Power Pty Limited,Hydro Power Pty Limited,Wyangala A Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,20,N,WYANGALA,20,20,
Hydro Power Pty Limited,Hydro Power Pty Limited,Wyangala B Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,4,N,WYANGALB,4,4,
Hydro-Electric Corporation,Hydro-Electric Corporation,Bastyan Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,79.9,Y,BASTYAN,79.9,88,40
Hydro-Electric Corporation,Hydro-Electric Corporation,Butlers Gorge Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,14.4,N,BUTLERSG,14.4,15,
